software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget,fold
4.1,cluster_id,Inh L1 LAMP5 NMBR,283,0.5957161981258366,0.7672413793103449,0.31448763250883394,15293,27,194,89,2,"['SCRG1', 'PDGFD']","['ADRA1D', 'SCRG1', 'PDGFD', 'IGDCC3', 'MMP28', 'CST3', 'GCNT2', 'AEN', 'SPATA6L']",0.2633840519600373,fold_7
4.1,cluster_id,Inh L1-4 LAMP5 LCP2,356,0.32388663967611336,0.3160493827160494,0.3595505617977528,14970,277,228,128,2,"['PDGFD', 'NTNG1']","['PDGFD', 'UNC5B', 'SPATA6L', 'NTNG1', 'KLF3', 'SLC25A5', 'CST3', 'ANKRD30B', 'PTPRB']",0.04196874456346622,fold_7
4.1,cluster_id,Inh L1-2 LAMP5 DBP,21,0.2,1.0,0.047619047619047616,15582,0,20,1,4,"['GCNT2', 'PDGFD', 'SPATA6L', 'SNRPC']","['SCRG1', 'SSR4', 'GCNT2', 'PDGFD', 'SPATA6L', 'SNRPC', 'SLC9A5', 'ING5', 'ANKRD30B', 'C19orf38']",0.16018082553839186,fold_7
4.1,cluster_id,Inh L2-6 LAMP5 CA1,256,0.7,0.9767441860465116,0.328125,15345,2,172,84,2,"['PDGFD', 'NTNG1']","['PDGFD', 'UNC5B', 'NTNG1', 'CST3', 'SLC24A4', 'CRTAC1', 'PTPRB', 'PREX2', 'RAB3IP', 'KLF3']",0.22140112686326793,fold_7
4.1,cluster_id,Inh L1 SST CHRNA4,52,0.28225806451612906,0.3888888888888889,0.1346153846153846,15540,11,45,7,3,"['ST8SIA2', 'ADAM33', 'PREX2']","['ST8SIA2', 'DDR1', 'CST3', 'KLHL13', 'ADAM33', 'PREX2', 'PIK3C2G']",0.11134757599218018,fold_7
4.1,cluster_id,Inh L1-2 ADARB2 MC4R,107,0.45454545454545453,0.85,0.1588785046728972,15493,3,90,17,2,"['UNC5B', 'ADAM33']","['UNC5B', 'ADAM33', 'KLHL13', 'ST8SIA2', 'ELOVL2', 'PELI1', 'PREX2', 'CST3', 'ANKRD30B', 'GCNT2']",0.1412632853563202,fold_7
4.1,cluster_id,Inh L1-2 SST BAGE2,108,0.28125,0.6923076923076923,0.08333333333333333,15491,4,99,9,2,"['PCDH18', 'ST8SIA2']","['PCDH18', 'ST8SIA2']",0.08662689554665319,fold_7
4.1,cluster_id,Inh L1-3 VIP SYT6,29,0.3246753246753247,0.4166666666666667,0.1724137931034483,15567,7,24,5,4,"['KCTD12', 'ZNF772', 'ADRA1D', 'SLC38A7']","['KCTD12', 'ZNF772', 'ADRA1D', 'DHRSX', 'ELOVL2', 'SLC38A7', 'PRKAG1', 'ZSCAN1', 'SPATA6L', 'ADAM33']",0.1739267214588518,fold_7
4.1,cluster_id,Inh L1-2 VIP TSPAN12,42,0.19607843137254902,0.26666666666666666,0.09523809523809523,15550,11,38,4,3,"['ELOVL2', 'ADAM33', 'TRDMT1']","['ADRA1D', 'ELOVL2', 'ST8SIA2', 'ADAM33', 'TRDMT1', 'GCNT2', 'UNC5B', 'PSMB5', 'CSTF2', 'ITGB8']",0.10483943152773766,fold_7
4.1,cluster_id,Inh L1-4 VIP CHRNA6,25,0.4716981132075472,0.7142857142857143,0.2,15576,2,20,5,4,"['DONSON', 'KLHL13', 'ANKRD30B', 'ADAM33']","['GCNT2', 'DONSON', 'KLHL13', 'ANKRD30B', 'ADAM33', 'CST3', 'AVIL', 'ITGB8', 'KCNG2', 'FAM216A']",0.11112134552535044,fold_7
4.1,cluster_id,Inh L1-3 VIP ADAMTSL1,72,0.3515625,0.391304347826087,0.25,15503,28,54,18,2,"['PCDH18', 'CNTRL']","['PCDH18', 'DRICH1', 'IGDCC3', 'AEN', 'CST3', 'CNTRL']",0.14682793676654957,fold_7
