software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget,fold
4.1,level2,FB3,11334,0.2002282568560975,0.1978113082407561,0.21051702841009354,486007,9676,8948,2386,4,"['ENSG00000083799', 'ENSG00000115594', 'ENSG00000102172', 'ENSG00000107341']","['ENSG00000083799', 'ENSG00000115594', 'ENSG00000173110', 'ENSG00000189266', 'ENSG00000102172', 'ENSG00000107341', 'ENSG00000091164', 'ENSG00000104856']",0.105387285,fold_14
4.1,level2,FB4,8241,0.09347637453656228,0.08595676773538373,0.1437932289770659,486175,12601,7056,1185,4,"['ENSG00000083799', 'ENSG00000115594', 'ENSG00000105202', 'ENSG00000189266']","['ENSG00000083799', 'ENSG00000115594', 'ENSG00000105202', 'ENSG00000189266', 'ENSG00000107341', 'ENSG00000104856', 'ENSG00000091164']",0.14590573,fold_14
4.1,level2,ILC,179,0.001407485548393334,0.0011265618243473908,0.553072625698324,419059,87779,80,99,1,['ENSG00000115594'],['ENSG00000115594'],0.15583333,fold_14
4.1,level2,LASP1,30970,0.5195020658060925,0.6216856667093634,0.3134323538908621,470140,5907,21263,9707,3,"['ENSG00000152229', 'ENSG00000185499', 'ENSG00000101457']","['ENSG00000152229', 'ENSG00000112699', 'ENSG00000185499', 'ENSG00000101457', 'ENSG00000181467', 'ENSG00000116898', 'ENSG00000102030', 'ENSG00000108244', 'ENSG00000198818', 'ENSG00000198561']",0.4925979,fold_14
4.1,level2,LASP2,30970,0.38192356991345183,0.3706414948950106,0.4348724572166613,453178,22869,17502,13468,2,"['ENSG00000108244', 'ENSG00000083799']","['ENSG00000181467', 'ENSG00000108244', 'ENSG00000124225', 'ENSG00000083799', 'ENSG00000198818', 'ENSG00000105202', 'ENSG00000102172', 'ENSG00000071127', 'ENSG00000160862', 'ENSG00000107341']",0.15567687,fold_14
4.1,level2,LASP3,30970,0.3902357807917419,0.3894178541759857,0.39354213755247014,456937,19110,18782,12188,3,"['ENSG00000181467', 'ENSG00000153714', 'ENSG00000105202']","['ENSG00000181467', 'ENSG00000153714', 'ENSG00000101457', 'ENSG00000112110', 'ENSG00000150593', 'ENSG00000105202', 'ENSG00000108244', 'ENSG00000116898', 'ENSG00000198818', 'ENSG00000083799']",0.24759154,fold_14
4.1,level2,LASP4,7976,0.35357321339330333,0.5637450199203188,0.141925777331996,498165,876,6844,1132,4,"['ENSG00000110011', 'ENSG00000150593', 'ENSG00000173110', 'ENSG00000105202']","['ENSG00000110011', 'ENSG00000112110', 'ENSG00000150593', 'ENSG00000173110', 'ENSG00000120071', 'ENSG00000105202', 'ENSG00000198561', 'ENSG00000106400', 'ENSG00000160862', 'ENSG00000102172']",0.22201672,fold_14
4.1,level2,LASP5,209,0.5279503105590062,0.5704697986577181,0.40669856459330145,506744,64,124,85,3,"['ENSG00000129810', 'ENSG00000137807', 'ENSG00000112699']","['ENSG00000129810', 'ENSG00000137807', 'ENSG00000189283', 'ENSG00000095739', 'ENSG00000112699', 'ENSG00000152229', 'ENSG00000112110', 'ENSG00000101457', 'ENSG00000150593', 'ENSG00000116898']",1.0,fold_14
4.1,level2,LE1,8407,0.2174726882891468,0.2437070938215103,0.15201617699536102,494644,3966,7129,1278,2,"['ENSG00000182809', 'ENSG00000083799']","['ENSG00000182809', 'ENSG00000083799']",0.31336272,fold_14
4.1,level2,LE2,5349,0.27840481565086533,0.3226022803487592,0.1798467003178164,499648,2020,4387,962,3,"['ENSG00000131477', 'ENSG00000182809', 'ENSG00000173110']","['ENSG00000131477', 'ENSG00000182809', 'ENSG00000173110']",0.64914876,fold_14
4.1,level2,LHS1,30970,0.3605665875758396,0.3828626986810957,0.29244430093639007,461448,14599,21913,9057,3,"['ENSG00000108828', 'ENSG00000198561', 'ENSG00000160862']","['ENSG00000153714', 'ENSG00000108828', 'ENSG00000198561', 'ENSG00000120071', 'ENSG00000124225', 'ENSG00000160862', 'ENSG00000071127', 'ENSG00000102172', 'ENSG00000189266', 'ENSG00000107341']",0.20211636,fold_14
4.1,level2,LHS2,18115,0.3751846747861497,0.38723731419784724,0.3336461495997792,479338,9564,12071,6044,2,"['ENSG00000160862', 'ENSG00000106400']","['ENSG00000198561', 'ENSG00000160862', 'ENSG00000106400', 'ENSG00000102172', 'ENSG00000189266']",0.12405897,fold_14
4.1,level2,LHS3,11373,0.39895573538119244,0.40099188458070334,0.391013804624989,489001,6643,6926,4447,2,"['ENSG00000153714', 'ENSG00000160862']","['ENSG00000153714', 'ENSG00000135018', 'ENSG00000120071', 'ENSG00000124225', 'ENSG00000198561', 'ENSG00000160862', 'ENSG00000108244', 'ENSG00000106400', 'ENSG00000189266', 'ENSG00000104856']",0.27794212,fold_14
4.1,level2,Macro,2492,0.60511690302798,0.6359516616314199,0.5068218298555377,503802,723,1229,1263,1,['ENSG00000197405'],"['ENSG00000197405', 'ENSG00000056558', 'ENSG00000275302']",0.63936216,fold_14
