clusterName,markerGene,score
Astro_1,ENSG00000280809,0.7961099174488295
Astro_1,ENSG00000287704,0.7961099174488295
Astro_2,ENSG00000284977,0.5761467889908257
Astro_2,ENSG00000234377,0.5761467889908257
Astro_3,ENSG00000233611,0.33249370277078083
Astro_3,ENSG00000287862,0.33249370277078083
EX_1,ENSG00000251055,0.43103448275862066
EX_1,ENSG00000235537,0.43103448275862066
EX_1,ENSG00000224842,0.43103448275862066
EX_1,ENSG00000248673,0.43103448275862066
EX_2,ENSG00000225249,0.7142857142857143
EX_2,ENSG00000267586,0.7142857142857143
EX_2,ENSG00000255595,0.7142857142857143
EX_3,ENSG00000279249,0.7904411764705882
EX_3,ENSG00000250039,0.7904411764705882
EX_4,ENSG00000259199,0.6900726392251816
EX_4,ENSG00000251209,0.6900726392251816
EX_4,ENSG00000253661,0.6900726392251816
EX_5,ENSG00000226903,0.7348703170028819
EX_5,ENSG00000234021,0.7348703170028819
EX_6,ENSG00000224223,0.5078125
EX_6,ENSG00000261348,0.5078125
EX_6,ENSG00000286685,0.5078125
EX_6,ENSG00000267761,0.5078125
EX_7,ENSG00000287881,0.6111111111111112
EX_7,ENSG00000204832,0.6111111111111112
EX_7,ENSG00000265643,0.6111111111111112
EX_8,ENSG00000224865,0.6610169491525424
EX_8,ENSG00000250092,0.6610169491525424
EX_9,ENSG00000249781,0.5169628432956381
EX_9,ENSG00000228526,0.5169628432956381
EX_9,ENSG00000256654,0.5169628432956381
EX_10,ENSG00000232046,0.18828451882845187
EX_10,ENSG00000249484,0.18828451882845187
EX_10,ENSG00000207955,0.18828451882845187
EX_11,ENSG00000248636,0.591715976331361
EX_11,ENSG00000228824,0.591715976331361
EX_11,ENSG00000235537,0.591715976331361
EX_12,ENSG00000254092,0.625
EX_12,ENSG00000223930,0.625
EX_13,ENSG00000241956,0.6762749445676275
EX_13,ENSG00000253693,0.6762749445676275
Endothelial_1,ENSG00000233237,0.11768002241524236
Ependymal_1,ENSG00000258752,0.6655844155844156
INH_1,ENSG00000288105,0.647887323943662
INH_1,ENSG00000271774,0.647887323943662
INH_1,ENSG00000249776,0.647887323943662
INH_2,ENSG00000255178,0.625
INH_2,ENSG00000254987,0.625
INH_3,ENSG00000263146,0.6521739130434783
INH_3,ENSG00000267659,0.6521739130434783
INH_3,ENSG00000283982,0.6521739130434783
INH_4,ENSG00000248174,0.6557377049180327
INH_4,ENSG00000234350,0.6557377049180327
INH_4,ENSG00000255367,0.6557377049180327
INH_5,ENSG00000223944,0.6030150753768844
INH_5,ENSG00000224116,0.6030150753768844
INH_5,ENSG00000229588,0.6030150753768844
INH_6,ENSG00000233355,0.7058823529411765
INH_6,ENSG00000250842,0.7058823529411765
INH_7,ENSG00000275443,0.6194690265486725
INH_7,ENSG00000263958,0.6194690265486725
INH_7,ENSG00000228526,0.6194690265486725
Lymphocyte_1,ENSG00000234663,0.6666666666666666
Lymphocyte_1,ENSG00000281103,0.6666666666666666
MN_1,ENSG00000260032,0.2099737532808399
Macro_1,ENSG00000237484,0.20833333333333334
Macro_1,ENSG00000287616,0.20833333333333334
Macro_1,ENSG00000231535,0.20833333333333334
Meninges_1,ENSG00000262769,0.740072202166065
Meninges_1,ENSG00000285336,0.740072202166065
Meninges_2,ENSG00000243620,0.5591397849462365
Meninges_2,ENSG00000249307,0.5591397849462365
Micro_1,ENSG00000229140,0.4731638418079096
Micro_1,ENSG00000237484,0.4731638418079096
Micro_2,ENSG00000286618,0.4750778816199377
Micro_2,ENSG00000250125,0.4750778816199377
Micro_3,ENSG00000264031,0.25176678445229683
Micro_3,ENSG00000231535,0.25176678445229683
Micro_4,ENSG00000285534,0.1300025490695896
Micro_4,ENSG00000176124,0.1300025490695896
Micro_5,ENSG00000258667,0.297029702970297
Micro_6,ENSG00000228655,0.08882149046793761
Micro_6,ENSG00000250125,0.08882149046793761
Micro_6,ENSG00000231131,0.08882149046793761
OligoProg_1,ENSG00000262223,0.3873239436619718
OligoProg_1,ENSG00000253807,0.3873239436619718
OligoProg_1,ENSG00000227036,0.3873239436619718
Oligo_1,ENSG00000286438,0.6980663473478801
Oligo_2,ENSG00000231373,0.3915308351537557
Oligo_2,ENSG00000249484,0.3915308351537557
Oligo_2,ENSG00000228793,0.3915308351537557
Oligo_3,ENSG00000253877,0.7150614602359678
Oligo_4,ENSG00000224924,0.23991526984711734
Oligo_4,ENSG00000261329,0.23991526984711734
Oligo_4,ENSG00000227088,0.23991526984711734
Oligo_4,ENSG00000259070,0.23991526984711734
Opc_1,ENSG00000231424,0.864507299270073
Opc_1,ENSG00000278254,0.864507299270073
Pericyte_1,ENSG00000247809,0.21705426356589147
