clusterName,markerGene,onTarget_per_gene,onTarget
Degenerative Peritubular Capilary Endothelial Cell,ENSG00000118785,0.073027246,0.10417501
Degenerative Podocyte,ENSG00000166033,0.67862034,0.67862034
Degenerative Proximal Tubule Epithelial Cell,ENSG00000197375,0.5115624,0.42871144
Degenerative Proximal Tubule Epithelial Cell,ENSG00000158296,0.34586048,0.42871144
Degenerative Vascular Smooth Muscle Cell,ENSG00000198467,1.0,1.0
Degenerative Vascular Smooth Muscle Cell,ENSG00000198523,1.0,1.0
Descending Thin Limb Cell Type 1,ENSG00000150471,0.26345706,0.25384519
Descending Thin Limb Cell Type 1,ENSG00000007062,0.2442333,0.25384519
Descending Thin Limb Cell Type 2,ENSG00000156687,1.0,1.0
Descending Thin Limb Cell Type 2,ENSG00000182667,1.0,1.0
Descending Thin Limb Cell Type 3,ENSG00000179869,0.3592105,0.26649693
Descending Thin Limb Cell Type 3,ENSG00000132874,0.19937667,0.26649693
Descending Thin Limb Cell Type 3,ENSG00000140600,0.26649693,0.26649693
Descending Vasa Recta Endothelial Cell,ENSG00000099260,0.5453392,0.52427375
Descending Vasa Recta Endothelial Cell,ENSG00000049192,0.50320834,0.52427375
Distal Convoluted Tubule Cell Type 1,ENSG00000146021,0.36018065,0.32869
Distal Convoluted Tubule Cell Type 1,ENSG00000119121,0.29719937,0.32869
Distal Convoluted Tubule Cell Type 2,ENSG00000082397,0.304365,0.26374137
Distal Convoluted Tubule Cell Type 2,ENSG00000070915,0.26126876,0.26374137
Distal Convoluted Tubule Cell Type 2,ENSG00000179399,0.26374137,0.26374137
Fibroblast,ENSG00000112936,0.36249846,0.29411083
Fibroblast,ENSG00000172260,0.22572318,0.29411083
Glomerular Capillary Endothelial Cell,ENSG00000167941,1.0,1.0
Glomerular Capillary Endothelial Cell,ENSG00000013016,1.0,1.0
Inner Medullary Collecting Duct Cell,ENSG00000249853,0.60740846,0.5197333
Inner Medullary Collecting Duct Cell,ENSG00000132874,0.43205822,0.5197333
Intercalated Cell Type B,ENSG00000113073,0.5046417,0.5046417
Lymphatic Endothelial Cell,ENSG00000138722,1.0,1.0
M2 Macrophage,ENSG00000260314,1.0,1.0
M2 Macrophage,ENSG00000177575,1.0,1.0
Macula Densa Cell,ENSG00000004948,1.0,0.7676296
Macula Densa Cell,ENSG00000185008,0.5352593,0.7676296
Mast Cell,ENSG00000185052,1.0,1.0
Mast Cell,ENSG00000163751,1.0,1.0
Medullary Fibroblast,ENSG00000079931,1.0,1.0
Medullary Fibroblast,ENSG00000067715,1.0,1.0
Medullary Thick Ascending Limb Cell,ENSG00000171724,1.0,0.83820415
Medullary Thick Ascending Limb Cell,ENSG00000282278,0.6764083,0.83820415
Mesangial Cell,ENSG00000154864,1.0,0.8532845
Mesangial Cell,ENSG00000169855,0.7065689,0.8532845
Monocyte-derived Cell,ENSG00000223865,0.44106644,0.44106644
Myofibroblast,ENSG00000108821,0.41652283,0.38263804
Myofibroblast,ENSG00000198947,0.34875327,0.38263804
Natural Killer Cell / Natural Killer T Cell,ENSG00000105374,1.0,1.0
Natural Killer Cell / Natural Killer T Cell,ENSG00000275302,1.0,1.0
Neutrophil,ENSG00000143546,1.0,1.0
Neutrophil,ENSG00000163220,1.0,1.0
Non-classical Monocyte,ENSG00000204482,1.0,1.0
Outer Medullary Collecting Duct Intercalated Cell Type A,ENSG00000106302,1.0,1.0
Outer Medullary Collecting Duct Intercalated Cell Type A,ENSG00000035720,1.0,1.0
Outer Medullary Collecting Duct Principal Cell,ENSG00000160111,0.46680453,0.34445426
Outer Medullary Collecting Duct Principal Cell,ENSG00000088970,0.34445426,0.34445426
Outer Medullary Collecting Duct Principal Cell,ENSG00000166828,0.24911773,0.34445426
Papillary Tip Epithelial Cell,ENSG00000176153,1.0,1.0
Papillary Tip Epithelial Cell,ENSG00000073282,1.0,1.0
Parietal Epithelial Cell,ENSG00000162692,1.0,0.87945426
Parietal Epithelial Cell,ENSG00000000971,0.75890857,0.87945426
Peritubular Capilary Endothelial Cell ,ENSG00000130300,0.32866827,0.30413347
Peritubular Capilary Endothelial Cell ,ENSG00000174640,0.2795987,0.30413347
Plasma Cell,ENSG00000170476,1.0,1.0
Plasmacytoid Dendritic Cell,ENSG00000198178,1.0,1.0
Plasmacytoid Dendritic Cell,ENSG00000119866,1.0,1.0
Podocyte,ENSG00000139304,1.0,0.81025803
Podocyte,ENSG00000151490,0.6205161,0.81025803
Proximal Tubule Epithelial Cell Segment 1 / Segment 2,ENSG00000250799,1.0,0.7938323
Proximal Tubule Epithelial Cell Segment 1 / Segment 2,ENSG00000171759,0.5876646,0.7938323
Proximal Tubule Epithelial Cell Segment 3,ENSG00000165983,1.0,0.663786
Proximal Tubule Epithelial Cell Segment 3,ENSG00000107611,0.32757202,0.663786
Renin-positive Juxtaglomerular Granular Cell,ENSG00000143839,1.0,1.0
Schwann Cell / Neural,ENSG00000179915,1.0,1.0
T Cell,ENSG00000168685,1.0,1.0
Transitional Principal-Intercalated Cell,ENSG00000147606,0.15847841,0.14146051
Transitional Principal-Intercalated Cell,ENSG00000166828,0.15379336,0.14146051
Transitional Principal-Intercalated Cell,ENSG00000157404,0.08011073,0.14146051
Transitional Principal-Intercalated Cell,ENSG00000150201,0.12912767,0.14146051
Vascular Smooth Muscle Cell,ENSG00000169282,1.0,1.0
Vascular Smooth Muscle Cell,ENSG00000122367,1.0,1.0
Vascular Smooth Muscle Cell / Pericyte,ENSG00000138031,0.33845484,0.31188875
Vascular Smooth Muscle Cell / Pericyte,ENSG00000074181,0.2853227,0.31188875
