software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget,fold
4.1,cluster_id,Inh L3 PVALB SAMD13,1326,0.2629855958096901,0.29606879606879605,0.1817496229260935,74634,573,1085,241,3,"['DNAI1', 'CDC42EP3', 'TSPAN9']","['CERK', 'DNAI1', 'CDC42EP3', 'TSPAN9', 'SPPL2B', 'EPB41', 'TRPC4', 'PLOD2', 'GPR89B', 'AK9']",0.06373659409379671,fold_8
4.1,cluster_id,Inh L1-2 PVALB CDK20,123,0.07936507936507936,0.08108108108108109,0.07317073170731707,76308,102,114,9,6,"['CDC42EP3', 'TSPAN9', 'RFC1', 'PLOD2', 'ANKRD50', 'ITGAV']","['CDC42EP3', 'TSPAN9', 'RFC1', 'PLOD2', 'ANKRD50', 'ITGAV', 'SLC39A9', 'PTDSS1', 'EPB41', 'TRPC4']",0.03242243588191858,fold_8
4.1,cluster_id,Inh L2 PVALB FRZB,107,0.03480278422273782,0.037037037037037035,0.028037383177570093,76348,78,104,3,6,"['CDC42EP3', 'DRAM2', 'SPPL2B', 'RFC1', 'TSPAN9', 'ANKRD50']","['CDC42EP3', 'DRAM2', 'SPPL2B', 'RFC1', 'TSPAN9', 'ANKRD50', 'TRPC4', 'ITGAV', 'PLOD2', 'KSR1']",0.03676452539131653,fold_8
4.1,cluster_id,Inh L1-2 SST CLIC6,194,0.019409282700421943,0.015785861358956762,0.23711340206185566,73471,2868,148,46,3,"['TSPAN9', 'PLOD2', 'TRPC4']","['TSPAN9', 'PLOD2', 'TRPC4']",0.020503924599123594,fold_8
4.1,cluster_id,Inh L5-6 PVALB GAPDHP60,138,0.3389830508474576,0.4444444444444444,0.17391304347826086,76365,30,114,24,3,"['PALMD', 'SULF2', 'SUPT16H']","['PALMD', 'SULF2', 'TSPAN9', 'CHRM2', 'SUPT16H', 'AK9', 'TRPC4', 'ANKRD50', 'CD59', 'DNAH7']",0.05805039312369297,fold_8
4.1,cluster_id,Inh L5-6 PVALB FAM150B,111,0.46808510638297873,0.7096774193548387,0.1981981981981982,76413,9,89,22,3,"['PALMD', 'PAMR1', 'CHRM2']","['PALMD', 'PAMR1', 'SULF2', 'RAB21', 'TSPAN9', 'CHRM2', 'AK9', 'CAAP1', 'TRPC4', 'BZW2']",0.0972403274177648,fold_8
4.1,cluster_id,Inh L5-6 PVALB MEPE,230,0.3663003663003663,0.5063291139240507,0.17391304347826086,76264,39,190,40,3,"['MEPE', 'PAMR1', 'DRAM2']","['KLKB1', 'MEPE', 'PAMR1', 'DRAM2', 'TSPAN9', 'SPPL2B', 'CHRM2', 'AK9', 'TRPC4', 'CAAP1']",0.057980097744932374,fold_8
4.1,cluster_id,Inh L1-6 PVALB COL15A1,288,0.4865771812080537,0.7532467532467533,0.2013888888888889,76226,19,230,58,2,"['RYR1', 'HTR1F']","['RYR1', 'DRAM2', 'TSPAN9', 'ITGAV', 'HTR1F', 'DPYSL5', 'PLOD2', 'CD59', 'EPB41']",0.25808163083127783,fold_8
4.1,cluster_id,Exc L2 LAMP5 KCNG3,261,0.08264462809917356,0.11627906976744186,0.038314176245210725,76196,76,251,10,4,"['PNCK', 'CAMKK1', 'CDKL1', 'SEMA4D']","['PNCK', 'CAMKK1', 'CDKL1', 'SEMA4D', 'ITGAV', 'PTDSS1', 'WWC1', 'IPCEF1', 'BZW2', 'DNAH7']",0.04776245104740762,fold_8
4.1,cluster_id,Exc L2 LINC00507 ATP7B,183,0.21613832853025935,0.36585365853658536,0.08196721311475409,76324,26,168,15,4,"['PAMR1', 'ANXA5', 'PNCK', 'NNAT']","['PAMR1', 'ANXA5', 'RASA3', 'PNCK', 'NNAT', 'CDKL1', 'CAMKK1', 'CCDC28A', 'SEMA4D', 'WWC1']",0.06893641014438032,fold_8
