clusterName,markerGene,onTarget_per_gene,onTarget
Alveolar Mph proliferating,ENSG00000166803,0.37602195,0.26651618
Alveolar Mph proliferating,ENSG00000171848,0.26426858,0.26651618
Alveolar Mph proliferating,ENSG00000175063,0.26876378,0.26651618
Alveolar Mph proliferating,ENSG00000137804,0.2608843,0.26651618
Monocyte-derived Mph,ENSG00000102575,0.19013384,0.16624123
Monocyte-derived Mph,ENSG00000260314,0.14234862,0.16624123
Interstitial Mph perivascular,ENSG00000124491,1.0,1.0
Interstitial Mph perivascular,ENSG00000010327,1.0,1.0
Classical monocytes,ENSG00000163221,1.0,0.66283876
Classical monocytes,ENSG00000143546,0.32567754,0.66283876
Non-classical monocytes,ENSG00000131042,1.0,0.59500957
Non-classical monocytes,ENSG00000203747,0.19001915,0.59500957
Mast cells,ENSG00000172236,1.0,1.0
