software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget,fold
4.1,ann_finest_level,Alveolar Mph MT-positive,1203,0.29016277423920733,0.3241106719367589,0.20448877805486285,489629,513,957,246,3,"['ENSG00000125144', 'ENSG00000122694', 'ENSG00000125148']","['ENSG00000125144', 'ENSG00000019169', 'ENSG00000122694', 'ENSG00000213145', 'ENSG00000149357', 'ENSG00000125148', 'ENSG00000114125', 'ENSG00000172428', 'ENSG00000103811']",0.1687646,fold_13
4.1,ann_finest_level,Alveolar Mph proliferating,1061,0.5432098765432098,0.9128630705394191,0.20735155513666353,490263,21,841,220,3,"['ENSG00000117724', 'ENSG00000132646', 'ENSG00000019169']","['ENSG00000213614', 'ENSG00000117724', 'ENSG00000132646', 'ENSG00000019169', 'ENSG00000170035', 'ENSG00000147443', 'ENSG00000122694', 'ENSG00000121691', 'ENSG00000106399', 'ENSG00000110077']",0.22498918,fold_13
4.1,ann_finest_level,Monocyte-derived Mph,28223,0.37770322706801834,0.36513468809073724,0.4380115508627715,441628,21494,15861,12362,2,"['ENSG00000019169', 'ENSG00000081041']","['ENSG00000019169', 'ENSG00000122694', 'ENSG00000110077', 'ENSG00000081041', 'ENSG00000197766', 'ENSG00000124762', 'ENSG00000103811', 'ENSG00000213145', 'ENSG00000149357', 'ENSG00000114125']",0.13500182,fold_13
4.1,ann_finest_level,Interstitial Mph perivascular,4805,0.226984188050629,0.2227676043043232,0.24557752341311134,482423,4117,3625,1180,3,"['ENSG00000110077', 'ENSG00000147443', 'ENSG00000103811']","['ENSG00000110077', 'ENSG00000147443', 'ENSG00000081041', 'ENSG00000124762', 'ENSG00000197766', 'ENSG00000103811', 'ENSG00000149357']",0.15531215,fold_13
4.1,ann_finest_level,Classical monocytes,17695,0.31081134906198965,0.3250034707760655,0.2645945182254874,463926,9724,13013,4682,2,"['ENSG00000110077', 'ENSG00000081041']","['ENSG00000110077', 'ENSG00000081041', 'ENSG00000197766', 'ENSG00000124762']",0.1432906,fold_13
4.1,ann_finest_level,Non-classical monocytes,8834,0.13279696257457965,0.1264308460280575,0.16628933665383744,472361,10150,7365,1469,3,"['ENSG00000110077', 'ENSG00000197766', 'ENSG00000124762']","['ENSG00000110077', 'ENSG00000197766', 'ENSG00000124762', 'ENSG00000103811']",0.077298455,fold_13
4.1,ann_finest_level,Mast cells,6623,0.057240415269267535,0.04753165718480455,0.3128491620111732,443202,41520,4551,2072,1,['ENSG00000157514'],['ENSG00000157514'],0.045844443,fold_13
4.1,ann_finest_level,Basal resting,31248,0.17146487694341286,0.1563980192335295,0.27896185355862774,413078,47019,22531,8717,1,['ENSG00000010256'],['ENSG00000010256'],0.06787489,fold_14
4.1,ann_finest_level,Suprabasal,31248,0.4991701017765294,0.5584919136778735,0.350326420890937,451443,8654,20301,10947,3,"['ENSG00000137440', 'ENSG00000167969', 'ENSG00000171603']","['ENSG00000137440', 'ENSG00000146674', 'ENSG00000167969', 'ENSG00000187257', 'ENSG00000171603', 'ENSG00000266412', 'ENSG00000145860', 'ENSG00000010256', 'ENSG00000160752', 'ENSG00000106537']",0.22189869,fold_14
4.1,ann_finest_level,Hillock-like,4600,0.23420973103656695,0.22677395757132407,0.26956521739130435,482517,4228,3360,1240,5,"['ENSG00000137440', 'ENSG00000135698', 'ENSG00000171603', 'ENSG00000170248', 'ENSG00000173207']","['ENSG00000137440', 'ENSG00000167969', 'ENSG00000135698', 'ENSG00000171603', 'ENSG00000170248', 'ENSG00000173207', 'ENSG00000266412', 'ENSG00000106244', 'ENSG00000010256', 'ENSG00000145860']",0.14663945,fold_14
